분류코드,카테고리
479,출산/육아>목욕용품>유아목욕가운
480,출산/육아>목욕용품>유아목욕타월
481,출산/육아>목욕용품>유아샴푸캡
482,출산/육아>목욕용품>유아목욕장갑/스펀지
483,출산/육아>목욕용품>유아세면대/수도꼭지
484,출산/육아>목욕용품>유아욕탕온도계
485,출산/육아>목욕용품>유아목욕장난감
486,출산/육아>목욕용품>욕실정리망/정리함
487,출산/육아>목욕용품>기타목욕용품
489,출산/육아>스킨/바디용품>기저귀크림
490,출산/육아>스킨/바디용품>유아크림
491,출산/육아>스킨/바디용품>유아로션
492,출산/육아>스킨/바디용품>유아오일
493,출산/육아>스킨/바디용품>유아선크림
494,출산/육아>스킨/바디용품>유아파우더
495,출산/육아>스킨/바디용품>유아립케어
496,출산/육아>스킨/바디용품>유아비누
497,출산/육아>스킨/바디용품>유아바스/샴푸
498,출산/육아>스킨/바디용품>유아입욕제
499,출산/육아>스킨/바디용품>기타스킨/바디용품
501,출산/육아>기저귀>국내기저귀
502,출산/육아>기저귀>수입기저귀
504,출산/육아>아기간식>유아두유
505,출산/육아>아기간식>유아과자
506,출산/육아>수유용품>젖병
507,출산/육아>수유용품>젖꼭지
508,출산/육아>수유용품>노리개젖꼭지
511,패션의류>여성의류>코디세트
513,패션잡화>여성신발>부티
514,패션잡화>여성신발>슬리퍼
515,패션잡화>여성신발>실내화
516,패션잡화>남성신발>슬립온
517,패션잡화>남성신발>모카신/털신
518,패션잡화>남성신발>보트슈즈
519,패션잡화>남성신발>구두
520,패션잡화>남성신발>스니커즈
521,패션잡화>남성신발>샌들
522,패션잡화>남성신발>슬리퍼
523,패션잡화>남성신발>워커
524,패션잡화>남성신발>부츠
525,패션의류>여성의류>티셔츠
526,패션의류>여성의류>블라우스/셔츠
527,패션의류>여성의류>니트/스웨터
528,패션의류>여성의류>카디건
529,패션의류>여성의류>원피스
530,패션의류>여성의류>스커트
531,패션의류>여성의류>청바지
532,패션의류>여성의류>바지
533,패션의류>여성의류>점프슈트
534,패션의류>여성의류>레깅스
535,패션의류>여성의류>코트
536,패션의류>여성의류>점퍼
537,패션의류>여성의류>재킷
538,패션의류>여성의류>정장세트
539,패션의류>여성의류>조끼
540,패션의류>여성의류>트레이닝복
541,패션의류>여성의류>한복
542,패션의류>여성의류>파티복
543,패션의류>여성의류>유니폼/단체복
544,패션의류>여성의류>레인코트
546,패션의류>여성언더웨어/잠옷>브라
547,패션의류>여성언더웨어/잠옷>팬티
548,패션의류>여성언더웨어/잠옷>브라팬티세트
549,패션의류>여성언더웨어/잠옷>잠옷/홈웨어
550,패션의류>여성언더웨어/잠옷>슬립
551,패션의류>여성언더웨어/잠옷>러닝/캐미솔
552,패션의류>여성언더웨어/잠옷>속치마/속바지
554,패션의류>남성의류>티셔츠
555,패션의류>남성의류>니트/스웨터
556,패션의류>남성의류>카디건
557,패션의류>남성의류>셔츠/남방
558,패션의류>남성의류>조끼
559,패션의류>남성의류>청바지
560,패션의류>남성의류>바지
561,패션의류>남성의류>점퍼
562,패션의류>남성의류>재킷
563,패션의류>남성의류>코트
564,패션의류>남성의류>정장세트
565,패션의류>남성의류>트레이닝복
566,패션의류>남성의류>한복
567,패션의류>남성의류>유니폼/단체복
568,패션의류>남성의류>레인코트
570,패션의류>남성언더웨어/잠옷>팬티
571,패션의류>남성언더웨어/잠옷>러닝
572,패션의류>남성언더웨어/잠옷>러닝팬티세트
573,패션의류>남성언더웨어/잠옷>잠옷/홈웨어
576,가구/인테리어>수예>원단
577,가구/인테리어>수예>수예용품/부자재
578,가구/인테리어>수예>기타수예
580,가구/인테리어>카페트/러그>쿨매트
582,가구/인테리어>커튼/블라인드>실커튼
584,출산/육아>분유>국내분유
585,출산/육아>분유>수입분유
586,출산/육아>분유>특수분유
587,가구/인테리어>커튼/블라인드>로만셰이드
588,가구/인테리어>커튼/블라인드>커튼/로만세트
589,가구/인테리어>커튼/블라인드>블라인드
590,가구/인테리어>커튼/블라인드>버티컬
591,가구/인테리어>커튼/블라인드>롤스크린
592,가구/인테리어>커튼/블라인드>바란스
593,가구/인테리어>커튼/블라인드>캐노피
594,가구/인테리어>커튼/블라인드>대나무발
595,가구/인테리어>커튼/블라인드>비즈발
596,가구/인테리어>커튼/블라인드>자바라
597,가구/인테리어>커튼/블라인드>커튼액세서리
599,가구/인테리어>인테리어소품>워터볼
600,가구/인테리어>인테리어소품>우체통
601,가구/인테리어>인테리어소품>도어벨
602,가구/인테리어>인테리어소품>디자인문패
603,가구/인테리어>인테리어소품>냉장고자석
604,가구/인테리어>인테리어소품>앤틱소품
605,가구/인테리어>인테리어소품>전통공예소품
606,가구/인테리어>인테리어소품>기타장식용품
608,가구/인테리어>침구단품>스프레드
609,가구/인테리어>침구단품>차렵이불
610,가구/인테리어>침구단품>홑이불
611,가구/인테리어>침구단품>이불커버
612,가구/인테리어>침구단품>담요
613,가구/인테리어>침구단품>무릎담요
614,가구/인테리어>침구단품>전기매트커버
615,가구/인테리어>침구단품>기타침구단품
617,가구/인테리어>침구세트>한실예단세트
619,가구/인테리어>솜류>쿠션솜
620,가구/인테리어>솜류>방석솜
621,가구/인테리어>카페트/러그>러그
622,가구/인테리어>카페트/러그>발매트
623,가구/인테리어>카페트/러그>대자리
624,가구/인테리어>카페트/러그>왕골자리
626,가구/인테리어>아웃도어가구>야외테이블
627,가구/인테리어>아웃도어가구>야외의자
628,가구/인테리어>아웃도어가구>정원그네
629,가구/인테리어>아웃도어가구>정자
630,가구/인테리어>아웃도어가구>야외벤치
631,가구/인테리어>아웃도어가구>기타아웃도어가구
633,가구/인테리어>DIY자재/용품>목재
634,가구/인테리어>DIY자재/용품>반제품
635,가구/인테리어>DIY자재/용품>손잡이
636,가구/인테리어>DIY자재/용품>파벽돌
637,가구/인테리어>DIY자재/용품>몰딩
638,가구/인테리어>DIY자재/용품>패널
639,가구/인테리어>DIY자재/용품>데코스티커
640,가구/인테리어>DIY자재/용품>접착제/보수용품
641,가구/인테리어>인테리어소품>장식인형
642,가구/인테리어>인테리어소품>장식미니어처
643,가구/인테리어>인테리어소품>화병
644,가구/인테리어>인테리어소품>인테리어파티션
645,가구/인테리어>인테리어소품>인테리어창문
646,가구/인테리어>인테리어소품>인터폰박스
647,가구/인테리어>인테리어소품>인테리어분수
648,가구/인테리어>인테리어소품>오르골
650,스포츠/레저>스포츠액세서리>스코어보드/작전판
651,스포츠/레저>스포츠액세서리>호각/호루라기
653,스포츠/레저>야구>포수장비
655,스포츠/레저>족구>족구공
656,스포츠/레저>족구>족구네트
657,스포츠/레저>족구>족구의류
658,스포츠/레저>족구>족구화
659,스포츠/레저>족구>기타족구용품
661,스포츠/레저>볼링>볼링공
662,스포츠/레저>볼링>볼링용품
663,스포츠/레저>볼링>볼링화
664,스포츠/레저>볼링>아대
665,스포츠/레저>볼링>볼링가방
667,스포츠/레저>스킨스쿠버>다이빙슈트
668,스포츠/레저>스킨스쿠버>부력재킷
669,스포츠/레저>스킨스쿠버>부츠
670,스포츠/레저>스킨스쿠버>다이빙칼
671,스포츠/레저>스킨스쿠버>글러브
672,스포츠/레저>스킨스쿠버>게이지
673,스포츠/레저>스킨스쿠버>기어백
674,스포츠/레저>스킨스쿠버>레귤레이터
675,스포츠/레저>스킨스쿠버>리트렉터
676,스포츠/레저>스킨스쿠버>수중전등
677,스포츠/레저>스킨스쿠버>수중총/작살
678,스포츠/레저>스킨스쿠버>옥토퍼스
679,스포츠/레저>스킨스쿠버>호스
680,스포츠/레저>스킨스쿠버>납
681,스포츠/레저>스킨스쿠버>기타스킨스쿠버용품
683,스포츠/레저>검도>죽도
684,스포츠/레저>검도>죽도집/부속품
685,스포츠/레저>검도>타격대
686,스포츠/레저>검도>도복
687,스포츠/레저>검도>기타검도용품
689,스포츠/레저>댄스>댄스소품
691,스포츠/레저>권투>글러브
692,스포츠/레저>권투>미트
693,스포츠/레저>권투>샌드백
695,스포츠/레저>보호용품>마우스피스
696,스포츠/레저>보호용품>머리보호대
697,스포츠/레저>보호용품>급소보호대
698,스포츠/레저>보호용품>몸통보호대
699,스포츠/레저>보호용품>배보호대
700,스포츠/레저>보호용품>팔보호대
702,스포츠/레저>무술용품>목검/가검
703,스포츠/레저>무술용품>봉/곤/창
704,스포츠/레저>무술용품>기타무술용품
706,스포츠/레저>수련용품>무도복
707,스포츠/레저>수련용품>수련화
708,스포츠/레저>수련용품>띠/벨트
709,스포츠/레저>수련용품>격파용품
710,스포츠/레저>수련용품>기타수련용품
711,스포츠/레저>스포츠액세서리>스포츠선글라스
712,스포츠/레저>스포츠액세서리>스포츠헤어밴드
713,스포츠/레저>스포츠액세서리>스포츠토시
715,스포츠/레저>등산>기타등산장비
717,스포츠/레저>캠핑>기타캠핑용품
719,가구/인테리어>침실가구>협탁
720,가구/인테리어>침실가구>부부테이블
721,가구/인테리어>침실가구>침실세트
723,가구/인테리어>거실가구>TV거실장
724,가구/인테리어>거실가구>장식장
726,가구/인테리어>주방가구>레인지대
727,가구/인테리어>주방가구>왜건/카트
728,가구/인테리어>주방가구>주방수납장
729,가구/인테리어>주방가구>그릇장/컵보드
730,가구/인테리어>주방가구>기타주방가구
732,가구/인테리어>수납가구>행거
733,가구/인테리어>수납가구>수납장
734,가구/인테리어>수납가구>선반
735,가구/인테리어>수납가구>공간박스
736,가구/인테리어>수납가구>고가구
737,가구/인테리어>수납가구>나비장
738,가구/인테리어>수납가구>CD/DVD장
739,가구/인테리어>수납가구>신발장
740,가구/인테리어>수납가구>우산꽂이
741,가구/인테리어>수납가구>잡지꽂이
742,가구/인테리어>수납가구>코너장
743,가구/인테리어>수납가구>소품수납함
745,가구/인테리어>아동/주니어가구>책상
746,가구/인테리어>아동/주니어가구>책상의자
747,가구/인테리어>아동/주니어가구>책상의자세트
748,가구/인테리어>아동/주니어가구>책장
749,가구/인테리어>아동/주니어가구>책꽂이
750,가구/인테리어>아동/주니어가구>옷장
751,가구/인테리어>아동/주니어가구>행거
752,가구/인테리어>아동/주니어가구>서랍장
753,가구/인테리어>아동/주니어가구>수납장
754,가구/인테리어>아동/주니어가구>의자
755,가구/인테리어>아동/주니어가구>소파
